          filename	output.txt	o2.txt	Aggregate_Mean	Aggregate_Std_dev	Aggregate_Median
             MIXes	24.0000	24.0000	24.0000	0.0000	24.0000
     MIXesAccuracy	100.0000	100.0000	100.0000	0.0000	100.0000
      MIXesCorrect	24.0000	24.0000	24.0000	0.0000	24.0000
               NEs	554.0000	554.0000	554.0000	0.0000	554.0000
       NEsAccuracy	87.9061	87.9061	87.9061	0.0000	87.9061
        NEsCorrect	487.0000	487.0000	487.0000	0.0000	487.0000
liberal f-measure MIX	0.8000	0.8000	0.8000	0.0000	0.8000
liberal f-measure MIX_en-bn	0.6667	0.6667	0.6667	0.0000	0.6667
liberal f-measure MIX_en-kn	1.0000	1.0000	1.0000	0.0000	1.0000
liberal f-measure MIX_en-ml	1.0000	1.0000	1.0000	0.0000	1.0000
liberal f-measure MIX_en-te	1.0000	1.0000	1.0000	0.0000	1.0000
liberal f-measure NE	0.6129	0.6129	0.6129	0.0000	0.6129
liberal f-measure NE-ml	1.0000	1.0000	1.0000	0.0000	1.0000
liberal f-measure NE_L	0.3953	0.3953	0.3953	0.0000	0.3953
liberal f-measure NE_O	0.8571	0.8571	0.8571	0.0000	0.8571
liberal f-measure NE_OA	0.1481	0.1481	0.1481	0.0000	0.1481
liberal f-measure NE_P	0.8139	0.8139	0.8139	0.0000	0.8139
liberal f-measure NE_PA	0.0000	0.0000	0.0000	0.0000	0.0000
liberal f-measure O	0.0000	0.0000	0.0000	0.0000	0.0000
liberal f-measure X	0.9551	0.9551	0.9551	0.0000	0.9551
liberal f-measure bn	0.5679	0.5716	0.5697	0.0018	0.5697
liberal f-measure en	0.7762	0.7782	0.7772	0.0010	0.7772
liberal f-measure gu	0.0000	0.0000	0.0000	0.0000	0.0000
liberal f-measure hi	0.4009	0.4838	0.4423	0.0414	0.4423
liberal f-measure kn	0.4402	0.3688	0.4045	0.0357	0.4045
liberal f-measure ml	0.4438	0.2077	0.3257	0.1180	0.3257
liberal f-measure mr	0.3519	0.3741	0.3630	0.0111	0.3630
liberal f-measure ta	0.7280	0.6279	0.6779	0.0500	0.6779
liberal f-measure te	0.3468	0.4015	0.3742	0.0274	0.3742
liberal precision MIX	1.0000	1.0000	1.0000	0.0000	1.0000
liberal precision MIX_en-bn	1.0000	1.0000	1.0000	0.0000	1.0000
liberal precision MIX_en-kn	1.0000	1.0000	1.0000	0.0000	1.0000
liberal precision MIX_en-ml	1.0000	1.0000	1.0000	0.0000	1.0000
liberal precision MIX_en-te	1.0000	1.0000	1.0000	0.0000	1.0000
liberal precision NE	0.6823	0.6823	0.6823	0.0000	0.6823
liberal precision NE-ml	1.0000	1.0000	1.0000	0.0000	1.0000
liberal precision NE_L	0.9444	0.9444	0.9444	0.0000	0.9444
liberal precision NE_O	0.7500	0.7500	0.7500	0.0000	0.7500
liberal precision NE_OA	0.2500	0.2500	0.2500	0.0000	0.2500
liberal precision NE_P	0.9699	0.9699	0.9699	0.0000	0.9699
liberal precision NE_PA	0.0000	0.0000	0.0000	0.0000	0.0000
liberal precision O	0.0000	0.0000	0.0000	0.0000	0.0000
liberal precision X	0.9482	0.9482	0.9482	0.0000	0.9482
liberal precision bn	0.4817	0.4627	0.4722	0.0095	0.4722
liberal precision en	0.9200	0.9190	0.9195	0.0005	0.9195
liberal precision gu	0.0000	0.0000	0.0000	0.0000	0.0000
liberal precision hi	0.3459	0.4532	0.3996	0.0537	0.3996
liberal precision kn	0.3813	0.2692	0.3253	0.0560	0.3253
liberal precision ml	0.3160	0.1169	0.2165	0.0996	0.2165
liberal precision mr	0.2577	0.2423	0.2500	0.0077	0.2500
liberal precision ta	0.6924	0.5967	0.6446	0.0479	0.6446
liberal precision te	0.2439	0.3970	0.3204	0.0766	0.3204
liberal recall MIX	0.6667	0.6667	0.6667	0.0000	0.6667
liberal recall MIX_en-bn	0.5000	0.5000	0.5000	0.0000	0.5000
liberal recall MIX_en-kn	1.0000	1.0000	1.0000	0.0000	1.0000
